Ascoidea_rubescens_DSM_1968	FB66D786
Ascoidea_tarda_NRRL_Y-2393	FA11E3A1
Ascomycota_sp._CTeuk-1837	FD6082CD
Ascosphaera_acerosa_ATCC_201316	FA9E2146
Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2	FD2F0C02
Ascosphaera_apis_ARSEF_7405	FCA5E144
Ascosphaera_atra_ARSEF_5147	F85F86CD
Ascosphaera_pollenicola_ATCC_62712	F5111BC2
Ashbya_aceris_FM-2008	F964BD16
Aspergillaceae_sp._CTeuk-1914	F40BB82B
Aspergillaceae_sp._M1327_PF1803	FFB433E9
Aspergillaceae_sp._PF1803_PT4103	F27DFD71
Aspergillaceae_sp._S1602_S1701	F7CBEE24
Aspergillaceae_sp._S1701_PF2412A	F536B271
Aspergillus_aculeatinus_CBS_121060	F1101860
Aspergillus_aculeatus_ATCC_16872	F4C12959
Aspergillus_aff._floccosus_IMV_01167_IMV_01167	F6C5610A
Aspergillus_affinis_CMG_70	F9FDF067
Aspergillus_aflatoxiformans_LH_A394	F88ACAFF
Aspergillus_alliaceus_CBS_536.65	FF98F8CB
Aspergillus_amoenus_S2904	F639B0FD
Aspergillus_amstelodami_NRRL_89	F27877B3
Aspergillus_arachidicola_CBS_117612	FC76F686
Aspergillus_asperescens_NRRL_4770	FE44214A
Aspergillus_austwickii_LH_A515	F3C79A11
Aspergillus_avenaceus_IBT_18842	FB389F2C
Aspergillus_awamori_IFM_58123	FA5AE563
Aspergillus_baeticus_NRRL_62501	F896D0F6
Aspergillus_bertholletiae_IBT_29228	F34B2731
Aspergillus_biplanus_NRRL_5071	F2F8583B
Aspergillus_bombycis_NRRL26010	FEF511F4
Aspergillus_brasiliensis_CBS_101740	FF28D8F4
Aspergillus_bridgeri_NRRL_13000	FCA67B39
Aspergillus_brunneoviolaceus_CBS_621.78	F5C1E7AD
Aspergillus_brunneus_CBS_112.26	F496E9E3
Aspergillus_caelatus_CBS_763.97	F036E946
Aspergillus_calidoustus	FE965E2E
Aspergillus_campestris_IBT_28561	FDCCDABF
Aspergillus_candidus_CBS_102.13	FBC3C6EA
Aspergillus_carbonarius_ITEM_5010	FE4477B7
Aspergillus_carlsbadensis_CBS_123894	FB06860E
Aspergillus_cavernicola_NRRL_6327	F009EA01
Aspergillus_cejpii_FS110	F0F5528E
Aspergillus_chevalieri_M1	FD624E01
Aspergillus_clavatus_NRRL_1	F2985E37
Aspergillus_conjunctus_NRRL_5080	F2DD6020
Aspergillus_coremiiformis_CBS_553.77	FFA18C9F
Aspergillus_costaricensis_CBS_115574	F4B1C99F
Aspergillus_costiformis_LH_A226	F2277114
Aspergillus_creber_HOSP050413_5_135	F746E063
Aspergillus_cristatus_2e	F9355C3E
Aspergillus_croceus_JS3-P1	FA655CEF
Aspergillus_cvjetkovicii_NRRL_227	F20DD301
Aspergillus_diversus_NRRL_5074	F5B78CB2
Aspergillus_egyptiacus_CBS_656.73	F13BC270
Aspergillus_elegans_IMI_345568	FB1B122A
Aspergillus_ellipticus_CBS_707.79	FB04C5CC
Aspergillus_eucalypticola_CBS_122712	F71FA017
Aspergillus_felis_FM324	FF2F3D3E
Aspergillus_fijiensis_CBS_313.89	F8E4BD94
Aspergillus_fischeri_NRRL_181	FAF9C57F
Aspergillus_flavus_NRRL3357	FA551EE1
Aspergillus_floridensis_IHEM_21069	F855DBE3
Aspergillus_foetidus_LH_A311	FB0D1C4A
Aspergillus_fructus_NRRL_239	FC0B2822
Aspergillus_fumigatiaffinis_CNM-CM6805	F5F6DC25
Aspergillus_fumigatus_Af293	F85C5601
Aspergillus_funiculosus_NRRL_4744	F76FAD96
Aspergillus_glaucus_CBS_516.65	F6215D34
Aspergillus_haitiensis_NRRL_4568	FF848B96
Aspergillus_hancockii_FRR_3425	FBDAA516
Aspergillus_heteromorphus_CBS_117.55	FCA0C536
Aspergillus_hiratsukae_CNM-CM5793	FAE1EBA7
Aspergillus_homomorphus_CBS_101889	FBF0BB22
Aspergillus_hortae_MCA8	FA7DD757
Aspergillus_ibericus_CBS_121593	FEA8C462
Aspergillus_incahuasiensis_NRRL_66825	FA9512BE
Aspergillus_indologenus_CBS_114.80	F67305CB
Aspergillus_intermedius_E25	F34C3522
Aspergillus_japonicus_CBS_114.51	F9A997E7
Aspergillus_jensenii_C4_18042019	FE6AD3A6
Aspergillus_kassunensis_NRRL_3752	F8DF4E24
Aspergillus_latus_MM151978	F58C3F34
Aspergillus_lentulus_IFM_58399	F58D65BD
Aspergillus_leporis_CBS_151.66	FBBE6F2F
Aspergillus_luchuensis_IFO_4308	F0765C33
Aspergillus_melleus_CBS_546.65	FC4DAD0F
Aspergillus_micronesiensis_H39	F3A47455
Aspergillus_minisclerotigenes_MRI390	FF299EC1
Aspergillus_montevidensis_ZYD4	F7854100
Aspergillus_mulundensis_DSM_5745	F49CDC41
Aspergillus_nanangensis_MST-FP2251	F5EA1789
Aspergillus_neoniger_CBS_115656	F844B538
Aspergillus_neotritici_S2209	F94BE975
Aspergillus_nidulans_FGSC_A4	F197696E
Aspergillus_niger	F2446433
Aspergillus_nomiae_NRRL_13137	FC36A3EC
Aspergillus_novofumigatus_IBT_16806	F5CBBD58
Aspergillus_novoparasiticus_CBS_126849	FA9BA5F3
Aspergillus_ochraceoroseus_IBT_24754	FC6BB738
Aspergillus_ochraceus_fc-1	F38DB309
Aspergillus_oerlinghausenensis_CBS_139183	F425DF7C
Aspergillus_olivimuriae_NRRL_66783	FFC99E47
Aspergillus_oryzae_RIB40	F86C163C
Aspergillus_ostianus_IFST_Aos1	FE1C1F14
Aspergillus_panamensis_NRRL_1786	F5821478
Aspergillus_parasiticus_MRI410	F9ED0366
Aspergillus_persii_NIBRFGC000004109	F247C67E
Aspergillus_phoenicis_ATCC_13157	F6FFD337
Aspergillus_piperis_CBS_112811	F0D4A061
Aspergillus_pragensis_LH_A260	F737F30D
Aspergillus_proliferans_E30	F24CB608
Aspergillus_protuberus_HOSP050413_4_129	FF7C3E62
Aspergillus_pseudocaelatus_CBS_117616	F4D32050
Aspergillus_pseudoglaucus_E42	FCE4A7F1
Aspergillus_pseudonomiae_CBS_119388	F5823D12
Aspergillus_pseudotamarii_CBS_117625	FE548AFF
Aspergillus_pseudoterreus_ATCC_32359	FB066691
Aspergillus_pseudoviridinutans_IFM_55266	F7AC806E
Aspergillus_puulaauensis_MK2	F8689DA6
Aspergillus_quadricinctus_FKII-L3-BK-DRAB1	F0671374
Aspergillus_quadrilineatus_NRRL_201	F577857D
Aspergillus_rambellii_SRRC1468	F4A94E7F
Aspergillus_ruber_CBS_135680	F6FB30A3
Aspergillus_saccharolyticus_JOP_1030-1	FC0FB6C6
Aspergillus_sclerotialis_CBS_366.77	FADFE0FE
Aspergillus_sclerotiicarbonarius_CBS_121057	F3E017BC
Aspergillus_sclerotioniger_CBS_115572	F220B693
Aspergillus_sclerotiorum_IFST_Ascl1	F71002E0
Aspergillus_sergii_CBS_130017	F3CCFD4D
Aspergillus_sojae_SMF134	F5FB0698
Aspergillus_sp._2663_2663	F245D303
Aspergillus_sp._2NF922_2NF922	FE22679B
Aspergillus_sp._2NF923_2NF923	FCAFB5CF
Aspergillus_sp._2NF925_2NF925	F0F12694
Aspergillus_sp._A31_A31	FE865FC7
Aspergillus_sp._ADI1_ADI1	F1D46216
Aspergillus_sparsus_NRRL_1933	F9C02FED
Aspergillus_sp._AS01_AS01	FFF5C15E
Aspergillus_sp._ATCC_12892_ATCC_12892	F64262E1
Aspergillus_sp._B102-05B_B102-05B	FD92488B
